PaperTitle,Authors (with Affiliations),AuthorNames
Faster One-Sample Stochastic Conditional Gradient Method for Composite Convex Minimization,Gideon Dresdner (ETH Zürich)*; Maria-Luiza Vladarean (EPFL); Gunnar Rätsch (ETH Zurich); Francesco Locatello (Amazon); Volkan Cevher (EPFL); Alp Yurtsever (Umeå University),"Dresdner, Gideon*; Vladarean, Maria-Luiza; Rätsch, Gunnar; Locatello, Francesco; Cevher, Volkan; Yurtsever, Alp"
Adversarial Tracking Control via Strongly Adaptive Online Learning with Memory,Zhiyu Zhang (Boston University)*; Ashok Cutkosky (Boston University); Ioannis Paschalidis (Boston University),"Zhang, Zhiyu*; Cutkosky, Ashok; Paschalidis, Ioannis"
Look-Ahead Acquisition Functions for Bernoulli Level Set Estimation,Benjamin Letham (Facebook)*; Phillip Guan  (Facebook Reality Labs Research); Chase Tymms (Facebook); Eytan Bakshy (Facebook); Michael Shvartsman (Facebook Reality Labs Research),"Letham, Benjamin*; Guan , Phillip; Tymms, Chase; Bakshy, Eytan; Shvartsman, Michael"
Debiasing Samples from Online Learning Using Bootstrap,Ningyuan Chen (University of Toronto); Xuefeng GAO (The Chinese University of Hong Kong); Yi Xiong (The Chinese University of Hong Kong)*,"Chen, Ningyuan; GAO, Xuefeng; Xiong, Yi*"
Convergence of online k-means,"Geelon So (UCSD)*; Gaurav Mahajan (University of California, San Diego); Sanjoy Dasgupta (UCSD)","So, Geelon*; Mahajan, Gaurav; Dasgupta, Sanjoy"
Reconstructing Test Labels from Noisy Loss Functions,Abhinav Aggarwal (Amazon Alexa)*; Shiva Kasiviswanathan (Amazon); Zekun Xu (Amazon Alexa); Oluwaseyi Feyisetan (Amazon Research); Nathanael Teissier (Amazon Alexa),"Aggarwal, Abhinav*; Kasiviswanathan, Shiva; Xu, Zekun; Feyisetan, Oluwaseyi; Teissier, Nathanael"
Being negative matters for contrastive learning,Ashwini  Pokle (Carnegie Mellon University); Jinjin Tian (Carnegie Mellon University); Yuchen Li (Carnegie Mellon University)*; Andrej Risteski (CMU),"Pokle, Ashwini ; Tian, Jinjin; Li, Yuchen*; Risteski, Andrej"
A general class of surrogate functions for stable and efficient reinforcement learning,Sharan Vaswani (Simon Fraser University)*; Olivier Bachem (Google Brain); Simone Totaro (Mila); Robert Muller (TU Munich); Shivam Garg (University of alberta); Matthieu Geist (Google Brain); Marlos C. Machado (DeepMind); Pablo Samuel Castro (Google); Nicolas Le Roux (Microsoft),"Vaswani, Sharan*; Bachem, Olivier; Totaro, Simone; Muller, Robert; Garg, Shivam; Geist, Matthieu; C. Machado, Marlos; Castro, Pablo Samuel; Le Roux, Nicolas"
Fundamental limits for rank-one matrix estimation with groupwise heteroskedasticity,Joshua K Behne (Duke University)*; Galen Reeves (Duke),"Behne, Joshua K*; Reeves, Galen"
Characterizing and Understanding the Generalization Error of Transfer Learning with Gibbs Algorithm,Yuheng Bu (MIT)*; Gholamali Aminian (UCL); Laura Toni (UCL); Miguel Rodrigues (University College London); Gregory W Wornell (MIT),"Bu, Yuheng*; Aminian, Gholamali; Toni, Laura; Rodrigues, Miguel; Wornell, Gregory W"
Decoupling Local and Global Representations of Time Series,"Sana Tonekaboni (University of Toronto, Vector institute, Hospital for Sick children)*; Chun-Liang Li (Google); Sercan O. Arik (Google); Anna Goldenberg (); Tomas Pfister (Google)","Tonekaboni, Sana*; Li, Chun-Liang; Arik, Sercan O.; Goldenberg, Anna; Pfister, Tomas"
Regret Bounds for Expected Improvement Algorithms in Gaussian Process Bandit Optimization,"Hung Tran-The (Deakin University)*; Sunil Gupta (Deakin University, Australia); Santu Rana (Deakin University, Australia); Svetha Venkatesh (Deakin University)","Tran-The, Hung*; Gupta, Sunil; Rana, Santu; Venkatesh, Svetha"
Optimal estimation of Gaussian DAG models,Ming Gao (the University of Chicago); Wai Ming Tai (University of Chicago); Bryon Aragam (University of Chicago)*,"Gao, Ming; Tai, Wai Ming; Aragam, Bryon*"
Improved Approximation Algorithms for Individually Fair Clustering,Ali Vakilian (Toyota Technological Institute at Chicago)*; Mustafa Yalciner (TU Dortmund),"Vakilian, Ali*; Yalciner, Mustafa"
Beta Shapley: a Unified and Noise-reduced Data Valuation Framework for Machine Learning,Yongchan Kwon (Stanford University); James Zou (Stanford University)*,"Kwon, Yongchan; Zou, James*"
Variance Minimization in the Wasserstein Space for Invariant Causal Prediction,Guillaume G Martinet (Princeton University)*; Alexander Strzalkowski (Princeton University); Barbara Engelhardt (Princeton University),"Martinet, Guillaume G*; Strzalkowski, Alexander; Engelhardt, Barbara"
Online Continual Adaptation with Active Self-Training,Shiji Zhou (Tsinghua University)*; Han Zhao (University of Illinois at Urbana-Champaign); Shanghang Zhang (UC Berkeley); Lianzhe Wang (Tsinghua University); Heng Chang (Tsinghua University); Zhi Wang (Tsinghua University); Wenwu Zhu (Tsinghua University),"Zhou, Shiji*; Zhao, Han; Zhang, Shanghang; Wang, Lianzhe; Chang, Heng; Wang, Zhi; Zhu, Wenwu"
Structured variational inference in Bayesian state-space models,Honggang Wang (Texas A&M University)*; Anirban  Bhattacharya (Texas A&M University); Debdeep Pati (Texas A&M University); Yun Yang (Univeristy of Illinois at Urbana-Champaign),"Wang, Honggang*; Bhattacharya, Anirban ; Pati, Debdeep; Yang, Yun"
Structured Multi-task Learning for Molecular Property Prediction,"Shengchao Liu (Mila, Université de Montréal)*; Meng Qu (Mila); Zuobai Zhang (Fudan University); Huiyu Cai (University of Montreal; Mila - Quebec AI Institute); Jian Tang (HEC Montreal; Mila)","Liu, Shengchao*; Qu, Meng; Zhang, Zuobai; Cai, Huiyu; Tang, Jian"
Nonparametric Relational Models with Superrectangulation,Masahiro Nakano (NTT communication science laboratories)*; Ryo Nishikimi (NTT Communication Science Laboratories); Yasuhiro Fujiwara (NTT Communication Science Laboratories); Akisato Kimura (NTT Communication Science Laboratories); Takeshi Yamada (NTT Communication Science Laboratories); Naonori Ueda (NTT Communication Science Labs.),"Nakano, Masahiro*; Nishikimi, Ryo; Fujiwara, Yasuhiro; Kimura, Akisato; Yamada, Takeshi; Ueda, Naonori"
"Regret, stability, and fairness in matching markets with bandit learners",Sarah H Cen (Massachusetts Institute of Technology)*; Devavrat Shah (MIT),"Cen, Sarah H*; Shah, Devavrat"
Probing GNN Explainers: A Rigorous Theoretical and Empirical Analysis of GNN Explanation Methods,Chirag Agarwal (Harvard University)*; Marinka Zitnik (Harvard University); Himabindu Lakkaraju (Harvard),"Agarwal, Chirag*; Zitnik, Marinka; Lakkaraju, Himabindu"
Distributionally Robust Structure Learning for Discrete Pairwise Markov Networks,Yeshu Li (UIC)*; Zhan Shi (UIC); Xinhua Zhang (UIC); Brian Ziebart (UIC),"Li, Yeshu*; Shi, Zhan; Zhang, Xinhua; Ziebart, Brian"
ExactBoost: Directly Boosting the Margin in Combinatorial and Non-decomposable Metrics,Daniel Csillag (IMPA); Carolina Piazza (Princeton); Thiago Ramos (IMPA); João Vitor Romano (IMPA); Roberto I Oliveira (IMPA); Paulo Orenstein (IMPA)*,"Csillag, Daniel; Piazza, Carolina; Ramos, Thiago; Romano, João Vitor; Oliveira, Roberto I; Orenstein, Paulo*"
Sharp Bounds for Federated Averaging (Local SGD) and Continuous Perspective,Margalit R Glasgow (Stanford University)*; Honglin Yuan (Stanford); Tengyu Ma (Stanford),"Glasgow, Margalit R*; Yuan, Honglin; Ma, Tengyu"
Near-Optimal Task Selection with Mutual Information for Meta-Learning,Yizhou Chen (National University of Singapore); Shizhuo Zhang (Nanyang Technological University); Bryan Kian Hsiang Low (National University of Singapore)*,"Chen, Yizhou; Zhang, Shizhuo; Low, Bryan Kian Hsiang*"
Best Arm Identification with Safety Constraints,Zhenlin Wang (National University of Singapore); Andrew J Wagenmaker (University of Washington)*; Kevin Jamieson (U Washington),"Wang, Zhenlin; Wagenmaker, Andrew J*; Jamieson, Kevin"
On the complexity of the optimal transport problem with graph-structured cost,Jiaojiao Fan (Georgia Institute of Technology)*; Isabel Haasler (KTH Royal Institute of Technology); Johan Karlsson (KTH Royal Institute of Technology); Yongxin Chen (Georgia Institute of Technology),"Fan, Jiaojiao*; Haasler, Isabel; Karlsson, Johan; Chen, Yongxin"
Second-Order Sensitivity Analysis for Bilevel Optimization,Robert Dyro (Stanford University)*; Edward Schmerling (Stanford University); Nikos Arechiga (Toyota Research Institute); Marco Pavone (Stanford University),"Dyro, Robert*; Schmerling, Edward; Arechiga, Nikos; Pavone, Marco"
On Learning Mixture Models with Sparse Parameters,"Soumyabrata Pal (Umass Amherst)*; Arya Mazumdar (University of California, San Diego)","Pal, Soumyabrata*; Mazumdar, Arya"
Sketch-and-lift: scalable subsampled semidefinite program for K-means clustering,Yubo Zhuang (University of Illinois Urbana-Champaign)*; Xiaohui Chen (University of Illinois at Urbana-Champaign); Yun Yang (Univeristy of Illinois at Urbana-Champaign),"Zhuang, Yubo*; Chen, Xiaohui; Yang, Yun"
Asynchronous Distributed Optimization with Stochastic Delays,Margalit R Glasgow (Stanford University)*; Mary Wootters (Stanford University),"Glasgow, Margalit R*; Wootters, Mary"
Calibration Error for Heterogeneous Treatment Effects,"Yizhe Xu (Stanford University)*; Steve Yadlowsky (Google Research, Brain Team)","Xu, Yizhe*; Yadlowsky, Steve"
Fast Sparse Logistic Regression: New Techniques for Generalized Linear and Additive Models using Quadratic Cuts and Dynamic Feature Ordering,Jiachang Liu (Duke University)*; Chudi Zhong (Duke University); Margo Seltzer (University of British Columbia); Cynthia Rudin (Duke),"Liu, Jiachang*; Zhong, Chudi; Seltzer, Margo; Rudin, Cynthia"
A Unified View of SDP-based Neural Network Verification through Completely Positive Programming,Robin A Brown (Stanford University)*; Edward Schmerling (Stanford University); Navid Azizan ( Massachusetts Institute of Technology); Marco Pavone (Stanford University),"Brown, Robin A*; Schmerling, Edward; Azizan, Navid; Pavone, Marco"
Recoverability Landscape of Tree Structured Markov Random Fields under Symmetric Noise,Ashish  Katiyar (University of Texas at Austin); Soumya Basu (Google)*; Vatsal Shah (Amazon); Constantine Caramanis (University of Texas),"Katiyar, Ashish ; Basu, Soumya*; Shah, Vatsal; Caramanis, Constantine"
Learning Sparse Fixed-Structure Gaussian Bayesian Networks,Arnab Bhattacharyya (National University of Singapore); Davin Choo (National University of Singapore); Rishikesh Gajjala (Indian Institute of Science); Sutanu Gayen (National University of SIngapore); Yuhao WANG (National University of Singapore)*,"Bhattacharyya, Arnab; Choo, Davin; Gajjala, Rishikesh; Gayen, Sutanu; WANG, Yuhao*"
Learning and Generalization in Overparameterized Normalizing Flows,Kulin Shah (University of Texas Austin)*; Amit Deshpande (Microsoft Research); Navin Goyal (Microsoft Research India),"Shah, Kulin*; Deshpande, Amit; Goyal, Navin"
Expressivity of Neural Networks via Chaotic Itineraries beyond Sharkovsky's Theorem,"Clayton H Sanford (Columbia)*; Vaggos Chatziafratis (Stanford University, California)","Sanford, Clayton H*; Chatziafratis, Vaggos"
Interpretable Dimensionality Reduction via Tree-Based Parametric Embeddings,Arman S Zharmagambetov (UC Merced)*; Miguel A Carreira-Perpinan (UC Merced),"Zharmagambetov, Arman S*; Carreira-Perpinan, Miguel A"
Disentangling Whether from When in Neural Mixture Cure Models with Dependent Censoring,Matthew Engelhard (Duke University)*; Ricardo Henao (Duke University),"Engelhard, Matthew*; Henao, Ricardo"
Sample Complexity of  Robust Reinforcement Learning with a Generative Model,Kishan Panaganti Badrinath (Texas A&M University)*; Dileep Kalathil (Texas A&M University),"Panaganti Badrinath, Kishan*; Kalathil, Dileep"
On Coresets for Fair Regression and Individually Fair Clustering,Rachit Chhaya (IIT Gandhinagar)*; Anirban Dasgupta (IIT Gandhinagar); Jayesh Choudhari (University of Warwick); Supratim Shit (Technion),"Chhaya, Rachit*; Dasgupta, Anirban; Choudhari, Jayesh; Shit, Supratim"
LocoProp: Enhancing BackProp via Local Loss Optimization,Ehsan Amid (Google Brain)*; Rohan Anil (Google Brain); Manfred Warmuth (),"Amid, Ehsan*; Anil, Rohan; Warmuth, Manfred"
Towards Agnostic Feature-based Dynamic Pricing: Linear Policies vs Linear Valuation with Unknown Noise,"Jianyu Xu (University of California, Santa Barbara)*; Yu-Xiang Wang (UC Santa Barbara)","Xu, Jianyu*; Wang, Yu-Xiang"
A cautionary tale on fitting decision trees to data from additive models: generalization lower bounds,"Yan Shuo Tan (Berkeley)*; Abhineet Agarwal (University of California, Berkeley); Bin Yu (University of California, Berkeley)","Tan, Yan Shuo*; Agarwal, Abhineet; Yu, Bin"
Exact Community Recovery over Signed Graphs,Xiaolu Wang (The Chinese University of Hong Kong); Peng Wang (University of Michigan)*; Anthony Man-Cho So (The Chinese University of Hong Kong),"Wang, Xiaolu; Wang, Peng*; So, Anthony Man-Cho"
Laplacian Constrained Precision Matrix Estimation: Existence and  High Dimensional Consistency,Eduardo Pavez (University of Southern California)*,"Pavez, Eduardo*"
Primal-Dual Stochastic Mirror Descent for MDPs,Daniil Tiapkin (HSE University)*; Alexander Gasnikov (Moscow Institute of Physics and Technology),"Tiapkin, Daniil*; Gasnikov, Alexander"
Convex Analysis of the Mean Field Langevin Dynamics,Atsushi Nitanda (Kyushu Institute of Technology / RIKEN AIP/ JST PRESTO)*; Denny Wu (University of Toronto & Vector Institute); Taiji Suzuki (The University of Tokyo / RIKEN),"Nitanda, Atsushi*; Wu, Denny; Suzuki, Taiji"
Information-Theoretic Analysis of Epistemic Uncertainty in Bayesian Meta-learning ,Sharu Theresa Jose (King's College London); Sangwoo Park (King's College London)*; Osvaldo Simeone (King's College London),"Jose, Sharu Theresa; Park, Sangwoo*; Simeone, Osvaldo"
Marginalising over Stationary Kernels with Bayesian Quadrature,Saad Hamid (University of Oxford)*; Sebastian Schulze (University of Oxford); Michael A.  Osborne (University of Oxford); Stephen Roberts (Oxford),"Hamid, Saad*; Schulze, Sebastian; Osborne, Michael A. ; Roberts, Stephen"
On the Convergence of Stochastic Extragradient for Bilinear Games using Restarted Iteration Averaging,"Chris Junchi Li (UC Berkeley)*; Yaodong Yu (UC Berkeley); Nicolas Loizou (Johns Hopkins University); Gauthier Gidel (Mila, Université de Montréal); Yi Ma (UC Berkeley); Nicolas Le Roux (Microsoft); Michael Jordan (UC Berkeley)","Li, Chris Junchi*; Yu, Yaodong; Loizou, Nicolas; Gidel, Gauthier; Ma, Yi; Le Roux, Nicolas; Jordan, Michael"
An Unsupervised Hunt for Gravitational Lenses,"Stephen Sheng (University of California, Davis)*; Keerthi Vasan G C  (U C Davis); Chi Po P Choi (University of California, Davis); James Sharpnack (University of California, Davis); Tucker  Jones (University of California, Davis)","Sheng, Stephen*; G C , Keerthi Vasan; Choi, Chi Po P; Sharpnack, James; Jones, Tucker "
Sobolev Transport: A Scalable Metric for Probability Measures with Graph Metrics,Tam Le (RIKEN AIP)*; Truyen Nguyen (The University of Akron); Dinh Phung (Monash University); Viet Anh Nguyen (VinAI),"Le, Tam*; Nguyen, Truyen; Phung, Dinh; Nguyen, Viet Anh"
Mean Nyström Embeddings for Adaptive Compressive Learning,Antoine Chatalic (University of Genoa)*; Luigi Carratino (unige); Ernesto De Vito (); Lorenzo Rosasco (Università degli Studi di Genova),"Chatalic, Antoine*; Carratino, Luigi; De Vito, Ernesto; Rosasco, Lorenzo"
Graph Representation Learning with Adaptive Mixtures,Da Sun Handason Tam (The Chinese University of Hongkong)*; Siyue Xie (The Chinese University of Hongkong); Wing Cheong  Lau (The Chinese University of Hong Kong),"Tam, Da Sun Handason*; Xie, Siyue; Lau, Wing Cheong "
Provable Adversarial Robustness for Fractional Lp Threat Models,Alexander J Levine (University of Maryland)*; Soheil Feizi (University of Maryland),"Levine, Alexander J*; Feizi, Soheil"
"On Some Fast And Robust Classifiers For High Dimension, Low Sample Size Data","Sarbojit Roy (Indian Institute of Technology Kanpur)*; Subhajit Dutta (Indian Institute of Technology Kanpur); Jyotishka Ray Choudhury (Indian Statistical Institute, Kolkata)","Roy, Sarbojit*; Dutta, Subhajit; Ray Choudhury, Jyotishka"
Learning Pareto-Efficient Decisions with Confidence,Sofia Ek (Uppsala University)*; Dave Zachariah (Uppsala University); Peter Stoica (Uppsala University),"Ek, Sofia*; Zachariah, Dave; Stoica, Peter"
Efficient and passive learning of networked dynamical systems driven by non-white exogenous inputs,Harish Doddi (University of Minnesota Twin Cities); Deepjyoti Deka (Los Alamos National Laboratory)*; Saurav Talukdar (University of Minnesota); Murti Salapaka (University of Minnesota),"Doddi, Harish; Deka, Deepjyoti*; Talukdar, Saurav; Salapaka, Murti"
Compressed Rule Ensemble Learning,"Malte Nalenz (LMU-Munich)*; Thomas Augustin (Department of Statistics, Ludwigs-Maximilians-Universität Munich (LMU))","Nalenz, Malte*; Augustin, Thomas"
Pick-and-Mix Information Operators for Probabilistic ODE Solvers,"Nathanael Bosch (University of Tübingen)*; Filip Tronarp (University of Tübingen); Philipp Hennig (University of Tübingen and MPI for Intelligent Systems, Tübingen)","Bosch, Nathanael*; Tronarp, Filip; Hennig, Philipp"
Finite Sample Analysis of Mean-Volatility Actor-Critic for Risk-Averse Reinforcement Learning,Khaled Eldowa (Politecnico di Milano)*; Lorenzo Bisi (Politecnico di Milano); Marcello Restelli (Politecnico di Milano),"Eldowa, Khaled*; Bisi, Lorenzo; Restelli, Marcello"
The Importance of Future Information in Credit Card Fraud Detection,Van Bach Nguyen (IKIM)*; Kanishka Ghosh Dastidar (University of Passau); Michael Granitzer (University of Passau); Wissam Siblini (Worldline),"Nguyen, Van Bach*; Ghosh Dastidar, Kanishka; Granitzer, Michael; Siblini, Wissam"
A Non-asymptotic Approach to Best-Arm Identification for Gaussian Bandits,Antoine Barrier (École Normale Supérieure de Lyon & Université Paris-Saclay)*; Aurélien Garivier (ENS Lyon); Tomáš Kocák (University of Potsdam),"Barrier, Antoine*; Garivier, Aurélien; Kocák, Tomáš"
Differentially Private Federated Learning on Heterogeneous Data,Maxence Noble (Ecole Polytechnique)*; Aurélien Bellet (INRIA); Aymeric Dieuleveut (École polytechnique),"Noble, Maxence*; Bellet, Aurélien; Dieuleveut, Aymeric"
Efficient computation of the the volume of a polytope in high-dimensions using Piecewise Deterministic Markov Processes,Augustin Chevallier (Lancaster University)*; Frédéric Cazals (Inria Sophia Antipolis); Paul Fearnhead (),"Chevallier, Augustin*; Cazals, Frédéric; Fearnhead, Paul"
"Triangular Flows for Generative Modeling: Statistical Consistency, Smoothness Classes, and Fast Rates",Nicholas J Irons (University of Washington)*; Meyer Scetbon (ENSAE); Soumik  Pal (University of Washington); Zaid Harchaoui (University of Washington),"Irons, Nicholas J*; Scetbon, Meyer; Pal, Soumik ; Harchaoui, Zaid"
Solving Marginal MAP Exactly by Probabilistic Circuit Transformations,YooJung Choi (UCLA)*; Tal Friedman (UCLA); Guy Van den Broeck (UCLA),"Choi, YooJung*; Friedman, Tal; Van den Broeck, Guy"
REPID: Regional Effect Plots with implicit Interaction Detection,Julia Herbinger (Ludwig-Maximilians-Universität München)*; Giuseppe Casalicchio (University LMU); Bernd Bischl (LMU Munich),"Herbinger, Julia*; Casalicchio, Giuseppe; Bischl, Bernd"
Minimal Expected Regret in Linear Quadratic Control,Yassir Jedra (KTH)*; Alexandre Proutiere (KTH Royal Institute of Technology),"Jedra, Yassir*; Proutiere, Alexandre"
Data-splitting improves statistical performance in  overparameterized regimes,Nicole Muecke (Technical University Berlin)*; Enrico Reiss (University of Potsdam); Jonas Rungenhagen (University of Potsdam); Markus Klein (University of Potsdam),"Muecke, Nicole*; Reiss, Enrico; Rungenhagen, Jonas; Klein, Markus"
Towards Understanding Biased Client Selection in Federated Learning,Yae Jee Cho (Carnegie Mellon University)*; Jianyu Wang (Carnegie Mellon University); Gauri Joshi (Carnegie Mellon University),"Cho, Yae Jee*; Wang, Jianyu; Joshi, Gauri"
"Statistical Depth Functions for Ranking Distributions: Definitions, Statistical Learning and Applications",Morgane Goibert (Criteo AI Lab)*; Stephan Clemencon (Telecom ParisTech); Ekhine Irurozki (BCAM); Pavlo Mozharovskyi (Telecom Paris),"Goibert, Morgane*; Clemencon, Stephan; Irurozki, Ekhine; Mozharovskyi, Pavlo"
Effective Nonlinear Feature Selection Method based on HSIC Lasso and with Variational Inference,Kazuki Koyama (NTT Communications)*; Keisuke Kiritoshi (NTT Communications); Tomomi Okawachi (NTT Communications); Tomonori Izumitani (NTT Communications),"Koyama, Kazuki*; Kiritoshi, Keisuke; Okawachi, Tomomi; Izumitani, Tomonori"
Sobolev Norm Learning Rates for Conditional Mean Embeddings,Prem Talwai (MIT)*; Ali Shameli (MIT); David Simchi-Levi (MIT),"Talwai, Prem*; Shameli, Ali; Simchi-Levi, David"
Provable Continual Learning via Sketched Jacobian Approximations,Reinhard Heckel (TUM)*,"Heckel, Reinhard*"
Neural Enhanced Dynamic Message Passing,"Fei Gao (Beijing Normal University)*; Jiang Zhang (School of Systems Science, Beijing Normal University); yan zhang (Beijing Normal University)","Gao, Fei*; Zhang, Jiang; zhang, yan"
Duel-based Deep Learning system for solving IQ tests,Paulina Tomaszewska (Warsaw University of Technology)*; Adam Żychowski (Warsaw University of Technology); Jacek Mańdziuk (Warsaw University of Technology),"Tomaszewska, Paulina*; Żychowski, Adam; Mańdziuk, Jacek"
On a Connection Between Fast and Sparse Oblivious Subspace Embeddings,Rui Wang (Renmin University of China); Wangli Xu (Renmin University of China)*,"Wang, Rui; Xu, Wangli*"
Modeling Conditional Dependencies in Multiagent Trajectories,Yannick Rudolph (Leuphana University)*; Ulf Brefeld (Leuphana),"Rudolph, Yannick*; Brefeld, Ulf"
Testing Granger Non-Causality in Panels with Cross-Sectional Dependencies,"Lenon Minorics (Amazon Research, Tuebingen)*; Caner Turkmen (Amazon); David Kernert (Amazon Research, Tuebingen); Patrick Bloebaum (Amazon AWS); Laurent Callot (Amazon Research); Dominik Janzing (Amazon)","Minorics, Lenon*; Turkmen, Caner; Kernert, David; Bloebaum, Patrick; Callot, Laurent; Janzing, Dominik"
Increasing the accuracy and resolution of precipitation forecasts using deep generative models,Ilan Price (University of Oxford)*; Stephan Rasp (ClimateAI),"Price, Ilan*; Rasp, Stephan"
Tight bounds for interpolation with basis pursuit on noisy data,Guillaume Wang (EPFL)*; Konstantin Donhauser (Swiss federal institute of technology); Fanny Yang (ETH),"Wang, Guillaume*; Donhauser, Konstantin; Yang, Fanny"
Multivariate Quantile Function Forecaster,Kelvin Kan (Emory University)*; François-Xavier Aubet (Amazon Research); Tim  Januschowski (Amazon Research); Youngsuk Park (Amazon Research); Konstantinos Benidis (Amazon Research); Lars Ruthotto (Emory University); Jan Gasthaus (Amazon Research),"Kan, Kelvin*; Aubet, François-Xavier; Januschowski, Tim ; Park, Youngsuk; Benidis, Konstantinos; Ruthotto, Lars; Gasthaus, Jan"
Coresets for Data Discretization and Sine Wave Fitting,Alaa Maalouf (The University of Haifa)*; Murad Tukan (The University of Haifa); Eric Price (University of Texas at Austin); Daniel M Kane (UCSD); Dan Feldman (The University of Haifa),"Maalouf, Alaa*; Tukan, Murad; Price, Eric; Kane, Daniel M; Feldman, Dan"
Non-separable Spatio-temporal Graph Kernels via SPDEs,Alexander V Nikitin (Aalto University)*; ST John (Aalto University & Finnish Center for Artificial Intelligence); Arno Solin (Aalto University); Samuel Kaski (Aalto University and University of Manchester),"Nikitin, Alexander V*; John, ST; Solin, Arno; Kaski, Samuel"
Towards an Understanding of Default Policies in Multitask Policy Optimization,"Ted Moskovitz (Gatsby Computational Neuroscience Unit)*; Michael Arbel (UCL); Jack Parker-Holder (University of Oxford); Aldo Pacchiano (Microsoft, Immunai)","Moskovitz, Ted*; Arbel, Michael; Parker-Holder, Jack; Pacchiano, Aldo"
Multiple Importance Sampling ELBO and Deep Ensembles of Variational Approximations,"Oskar Kviman (Royal Institute of Technology (KTH), Science for Life Laboratory)*; Harald Melin (Royal Institute of Technology (KTH), Science for Life Laboratory); Hazal Koptagel (KTH); Victor Elvira (University of Edinburgh); Jens Lagergren (Royal Institute of Technology (KTH), Science for Life Laboratory)","Kviman, Oskar*; Melin, Harald; Koptagel, Hazal; Elvira, Victor; Lagergren, Jens"
Can Functional Transfer Methods Capture Simple Inductive Biases?,Arne Nix (Tübingen University)*; Suhas Shrinivasan (University of Göttingen ); Edgar Y Walker (University Tübingen); Fabian Sinz (University of Göttingen),"Nix, Arne*; Shrinivasan, Suhas; Walker, Edgar Y; Sinz, Fabian"
On the Oracle Complexity of Higher-Order Smooth Non-Convex Finite-Sum Optimization,Nicolas Emmenegger (ETH Zürich)*; Rasmus Kyng (ETH Zurich); Ahad N. Zehmakan (ETH Zurich),"Emmenegger, Nicolas*; Kyng, Rasmus; N. Zehmakan, Ahad"
Model-agnostic out-of-distribution detection using combined statistical tests,"Federico Bergamin (Technical University of Denmark)*; Pierre-Alexandre Mattei (Inria); Jakob Drachmann Havtorn (Technical University of Denmark); Hugo Sénétaire (Technical University of Denmark); Hugo Schmutz (Universite Cote d'Azur); Lars Maaløe (Corti); Soren Hauberg (Technical University of Denmark, Denmark); Jes Frellsen (Technical University of Denmark)","Bergamin, Federico*; Mattei, Pierre-Alexandre; Havtorn, Jakob Drachmann; Sénétaire, Hugo; Schmutz, Hugo; Maaløe, Lars; Hauberg, Soren; Frellsen, Jes"
Generalized Group Testing,Xiwei Cheng (the Chinese University of Hong Kong); Sidharth Jaggi (University of Bristol); Qiaoqiao Zhou (National University of Singapore)*,"Cheng, Xiwei; Jaggi, Sidharth; Zhou, Qiaoqiao*"
Adaptive A/B Test on Networks with Cluster Structures ,Yang Liu (George Washington University); Yifan Zhou (Pfizer Inc.); Ping Li (Baidu Research)*; Feifang Hu (George Washington University),"Liu, Yang; Zhou, Yifan; Li, Ping*; Hu, Feifang"
Spectral Algorithms for Correlation Clustering Reconstruction in Semi-Adversarial Models,"Flavio Chierichetti (Sapienza University); Alessandro Panconesi (Sapienza, University of Rome); Giuseppe Re (Sapienza University of Rome)*; Luca Trevisan (Bocconi University)","Chierichetti, Flavio; Panconesi, Alessandro; Re, Giuseppe*; Trevisan, Luca"
Beyond Data Samples: Aligning Differential Networks Estimation with Scientific Knowledge,Arshdeep Sekhon (University of Virginia)*; Zhe Wang (University of Virginia); Yanjun Qi (University of Virginia),"Sekhon, Arshdeep*; Wang, Zhe; Qi, Yanjun"
Two-way Sparse Network Inference for Count Data,Sijia Li (University of Leeds)*; Martín López-García (University of Leeds); Neil D Lawrence (University of Cambridge); Luisa Cutillo (University of Leeds),"Li, Sijia*; López-García, Martín; Lawrence, Neil D; Cutillo, Luisa"
Rapid Convergence of Informed Importance Tempering,Quan Zhou (Texas A&M University)*; Aaron Smith (University of Ottawa),"Zhou, Quan*; Smith, Aaron"
On the Implicit Bias of Gradient Descent for Temporal Extrapolation,Avichai Ben David (Tel Aviv University); Edo Cohen-Karlik (Tel Aviv University)*; Nadav Cohen (Tel Aviv University); Amir Globerson (TAU CS),"Ben David, Avichai; Cohen-Karlik, Edo*; Cohen, Nadav; Globerson, Amir"
Differentiable Bayesian inference of SDE parameters using a pathwise series expansion of Brownian motion,"Sanmitra Ghosh (MRC Biostatistics Unit, School of Clinical Medicine, University of Cambridge)*; Paul J.  Birrell (MRC Biostatistics Unit, School of Clinical Medicine, University of Cambridge);  Daniela De Angelis (MRC Biostatistics Unit, School of Clinical Medicine, University of Cambridge; Public Health England, Colindale)","Ghosh, Sanmitra*; Birrell, Paul J. ; De Angelis,  Daniela"
