PaperTitle,Authors (with Affiliations),AuthorNames
Near Instance Optimal Model Selection for Pure Exploration Linear Bandits,"Yinglun Zhu (University of Wisconsin-Madison)*; Julian Katz-Samuels (University of Wisconsin-Madison); Robert Nowak (University of Wisconsin, Madison)","Zhu, Yinglun*; Katz-Samuels, Julian; Nowak, Robert"
Identification in Tree-shaped Linear Structural Causal Models,Benito van der Zander (Universität zu Lübeck)*; Marcel Wienöbst (Universität zu Lübeck); Markus Bläser (Saarland University); Maciej Liskiewicz (Universität zu Lübeck),"van der Zander, Benito*; Wienöbst, Marcel; Bläser, Markus; Liskiewicz, Maciej"
Pareto Optimal Model Selection in Linear Bandits,"Yinglun Zhu (University of Wisconsin-Madison)*; Robert Nowak (University of Wisconsin, Madison)","Zhu, Yinglun*; Nowak, Robert"
PAC Top-$k$ Identification under SST in Limited Rounds,Arpit Agarwal (Columbia University); Sanjeev Khanna (U of Pennsylvania ); Prathamesh Patil (University of Pennsylvania)*,"Agarwal, Arpit; Khanna, Sanjeev; Patil, Prathamesh*"
Local SGD Optimizes Overparameterized Neural Networks in Polynomial Time,Yuyang Deng (Penn State)*; Mohammad Mahdi Kamani (Wyze Labs); Mehrdad Mahdavi (Penn State),"Deng, Yuyang*; Kamani, Mohammad Mahdi; Mahdavi, Mehrdad"
Dual-Level Adaptive Information Filtering for Interactive Image Segmentation,Ervine Zheng (Rochester Institute of Technology); Qi Yu (Rochester Institute of Technology)*; Rui Li (Rochester Institute of Technology); Pengcheng Shi (rit); Anne Haake (Rochester Institute of Technology),"Zheng, Ervine; Yu, Qi*; Li, Rui; Shi, Pengcheng; Haake, Anne"
On the Value of Prior in Online Learning to Rank,Branislav Kveton (Amazon)*; Ofer Meshi (Google Research); Masrour Zoghi (Google); Zhen Qin (Google),"Kveton, Branislav*; Meshi, Ofer; Zoghi, Masrour; Qin, Zhen"
Doubly Mixed-Effects Gaussian Process Regression,Jun Ho Yoon (Carnegie Mellon University)*; Daniel P Jeong (Carnegie Mellon University); Seyoung Kim (),"Yoon, Jun Ho*; Jeong, Daniel P; Kim, Seyoung"
Weighted Gaussian Process Bandits for Non-stationary Environments,Yuntian Deng (The Ohio State University)*; Xingyu Zhou (Wayne State University); Baekjin Kim (University of Michigan); Ambuj Tewari (University of Michigan); Abhishek Gupta (The Ohio State University); Ness Shroff (The Ohio State University),"Deng, Yuntian*; Zhou, Xingyu; Kim, Baekjin; Tewari, Ambuj; Gupta, Abhishek; Shroff, Ness"
Conditionally Tractable Density Estimation using Neural Networks,Hailiang Dong (UT Dallas)*; Chiradeep Roy (UT Dallas); Tahrima Rahman (UT Dallas); Vibhav Gogate (UT Dallas); Nicholas Ruozzi (UT Dallas),"Dong, Hailiang*; Roy, Chiradeep; Rahman, Tahrima; Gogate, Vibhav; Ruozzi, Nicholas"
Common Information based Approximate State Representations in Multi-Agent Reinforcement Learning,Hsu Kao (University of Michigan)*; Vijay Subramanian (University of Michigan),"Kao, Hsu*; Subramanian, Vijay"
Sensing Cox Processes via Posterior Sampling and Positive Bases,Mojmir Mutny (ETH Zurich)*; Andreas Krause (ETH Zürich),"Mutny, Mojmir*; Krause, Andreas"
A predictive approach to Bayesian nonparametric survival analysis,Edwin Fong (University of Oxford); Brieuc Lehmann (University of Oxford)*,"Fong, Edwin; Lehmann, Brieuc*"
On the equivalence of Oja's method and GROUSE,Laura Balzano (University of Michigan)*,"Balzano, Laura*"
Diversified Sampling for Batched Bayesian Optimization with Determinantal Point Processes,Elvis Nava (ETH Zurich)*; Mojmir Mutny (ETH Zurich); Andreas Krause (ETH Zürich),"Nava, Elvis*; Mutny, Mojmir; Krause, Andreas"
Label differential privacy via clustering,Hossein Esfandiari (Google Research); Vahab Mirrokni (Google); Umar Syed (Google)*; Sergei Vassilvitskii (Google),"Esfandiari, Hossein; Mirrokni, Vahab; Syed, Umar*; Vassilvitskii, Sergei"
Neural score matching for high-dimensional causal inference,Oscar Clivio (University of Oxford)*; Fabian Falck (University of Oxford); Brieuc Lehmann (University of Oxford); George Deligiannidis (Oxford); Chris Holmes (University of Oxford),"Clivio, Oscar*; Falck, Fabian; Lehmann, Brieuc; Deligiannidis, George; Holmes, Chris"
Robust Stochastic Linear Contextual Bandits Under Adversarial Attacks,"QIN DING (University of California, Davis)*; Cho-Jui Hsieh (UCLA); James Sharpnack (University of California, Davis)","DING, QIN*; Hsieh, Cho-Jui; Sharpnack, James"
Multi-class classification in nonparametric active learning,Boris Ndjia Njike (University of Mons)*; Xavier Siebert (University of Mons),"Ndjia Njike, Boris*; Siebert, Xavier"
On the Assumptions of Synthetic Control Methods,Claudia Shi (Columbia University)*; Dhanya Sridhar (University of Montreal); Vishal Misra (Columbia University); David Blei (Columbia University),"Shi, Claudia*; Sridhar, Dhanya; Misra, Vishal; Blei, David"
"Faster Rates, Adaptive Algorithms, and Finite-Time Bounds for Gradient Temporal-Difference Learning","Anant Raj (SIERRA, Inria)*; Pooria Joulani (DeepMind); Andras Gyorgy (DeepMind); Csaba Szepesvari (DeepMind/University of Alberta)","Raj, Anant*; Joulani, Pooria; Gyorgy, Andras; Szepesvari, Csaba"
Investigating the Role of Negatives in Contrastive Representation Learning,Jordan Ash (Microsoft Research)*; Surbhi Goel (Microsoft Research); Akshay Krishnamurthy (MSR); Dipendra Misra (Microsoft),"Ash, Jordan*; Goel, Surbhi; Krishnamurthy, Akshay; Misra, Dipendra"
Minimax Kernel Machine Learning for a Class of Doubly Robust Functionals with Application to Proximal Causal Inference,"AmirEmad Ghassami (Johns Hopkins University)*; Andrew Ying (University of Pennsylvania); Ilya Shpitser (Johns Hopkins University); Eric Tchetgen Tchetgen (Wharton School, UPenn)","Ghassami, AmirEmad*; Ying, Andrew; Shpitser, Ilya; Tchetgen Tchetgen, Eric"
Derivative-Based Neural Modelling of Cumulative Distribution Functions for Survival Analysis,Dominic Danks (Alan Turing Institute)*; Christopher Yau (University of Manchester),"Danks, Dominic*; Yau, Christopher"
Cycle Consistent Probability Divergences Across Different Spaces,Zhengxin  Zhang (Cornell University)*; Youssef Mroueh (IBM Research); Ziv Goldfeld (Cornell University); Bharath Sriperumbudur (Penn State),"Zhang, Zhengxin *; Mroueh, Youssef; Goldfeld, Ziv; Sriperumbudur, Bharath"
Warping Layer: Representation Learning for Label Structures in Weakly Supervised Learning,Yingyi Ma (UIC)*; Xinhua Zhang (UIC),"Ma, Yingyi*; Zhang, Xinhua"
A Bandit Model for Human-Machine Decision Making with Private Information and Opacity,"Sebastian Bordt (University of Tübingen, Germany)*; Ulrike von Luxburg (U Tübingen)","Bordt, Sebastian*; von Luxburg, Ulrike"
Ada-BKB: Scalable Gaussian Process Optimization on Continuous Domain by Adaptive Discretization,Marco Rando (Universita` degli Studi di Genova)*; Luigi Carratino (-); Silvia Villa (Università di Genova); Lorenzo Rosasco (Università degli Studi di Genova),"Rando, Marco*; Carratino, Luigi; Villa, Silvia; Rosasco, Lorenzo"
Adaptive Multi-Goal Exploration,Jean Tarbouriech (Facebook AI Research & Inria)*; Omar Darwiche Domingues (Inria); Alessandro Lazaric (Facebook); Pierre Menard (OvGU Magdeburg); Matteo Pirotta (Facebook AI Research); Michal Valko (DeepMind),"Tarbouriech, Jean*; Darwiche Domingues, Omar; Lazaric, Alessandro; Menard, Pierre; Pirotta, Matteo; Valko, Michal"
Chernoff Sampling for Active Testing and Extension to Active Regression,"Subhojyoti Mukherjee (University of Wisconsin Madison)*; Ardhendu S Tripathy (Missouri University of Science & Technology); Robert Nowak (University of Wisconsin, Madison)","Mukherjee, Subhojyoti*; Tripathy, Ardhendu S; Nowak, Robert"
